Hour,Messages
2004-09-04T14,1
2004-09-04T15,1
2004-09-10T08,3
2004-09-17T05,1
2004-09-24T05,1
2004-09-26T12,6
2004-09-26T15,3
2004-09-27T06,6
2004-09-27T07,3
2004-09-27T08,2
2004-09-27T10,3
2004-09-27T16,3
2004-09-28T09,6
2004-09-28T11,3
2004-09-28T12,3
2004-09-29T07,3
2004-09-29T12,3
2004-09-29T14,6
2004-09-30T05,2
2004-09-30T08,3
2004-09-30T11,2
2004-09-30T12,4
2004-09-30T16,4
2004-10-01T05,3
2004-10-01T13,2
2004-10-01T14,1
2004-10-01T15,6
2004-10-01T16,3
2004-10-02T10,6
2004-10-02T13,3
2004-10-02T14,3
2004-10-04T07,3
2004-10-04T09,3
2004-10-04T13,3
2004-10-04T14,3
2004-10-05T10,3
2004-10-07T06,3
2004-10-07T09,3
2004-10-07T16,3
2004-10-09T08,9
2004-10-09T13,3
2004-10-09T14,3
2004-10-09T15,3
2004-10-10T08,3
2004-10-10T11,3
2004-10-10T13,3
2004-10-11T10,2
2004-10-11T12,2
2004-10-12T10,3
2004-10-12T13,3
2004-10-13T07,3
2004-10-13T08,3
2004-10-14T09,3
2004-10-14T12,3
2004-10-14T13,3
2004-10-15T13,3
2004-10-16T05,3
2004-10-16T06,3
2004-10-16T11,5
2004-10-16T13,2
2004-10-16T14,4
2004-10-17T08,3
2004-10-17T09,3
2004-10-18T05,6
2004-10-18T08,1
2004-10-18T09,2
2004-10-18T10,3
2004-10-18T14,3
2004-10-19T10,3
2004-10-19T16,1
2004-10-20T11,3
2004-10-20T14,3
2004-10-21T07,6
2004-10-21T08,3
2004-10-21T14,3
2004-10-22T12,3
2004-10-22T14,3
2004-10-23T08,3
2004-10-23T13,3
2004-10-23T14,3
2004-10-24T10,3
2004-10-24T15,3
2004-10-25T06,33
2004-10-25T12,3
2004-10-25T15,3
2004-10-26T10,3
2004-10-26T13,6
2004-10-27T05,3
2004-10-27T08,3
2004-10-27T13,3
2004-10-27T14,3
2004-10-28T07,3
2004-10-28T11,3
2004-10-28T12,3
2004-10-28T14,6
2004-10-29T13,3
2004-10-29T16,3
2004-10-30T05,3
2004-10-30T07,3
2004-10-30T09,3
2004-10-30T15,3
2004-10-30T16,3
2004-10-31T08,2
2004-10-31T09,1
2004-10-31T12,3
2004-10-31T13,3
2004-10-31T17,3
2004-11-01T07,3
2004-11-01T09,6
2004-11-01T16,9
2004-11-01T17,3
2004-11-02T14,3
2004-11-03T08,3
2004-11-03T10,3
2004-11-04T06,6
2004-11-04T13,3
2004-11-04T16,3
2004-11-04T17,3
2004-11-05T06,3
2004-11-05T08,2
2004-11-05T09,3
2004-11-05T10,6
2004-11-05T13,3
2004-11-05T14,3
2004-11-05T17,1
2004-11-06T08,3
2004-11-06T10,3
2004-11-06T13,3
2004-11-07T10,5
2004-11-07T11,1
2004-11-07T14,3
2004-11-08T06,3
2004-11-08T07,3
2004-11-08T13,2
2004-11-08T17,1
2004-11-09T06,3
2004-11-09T09,4
2004-11-09T11,3
2004-11-09T13,24
2004-11-09T17,1
2004-11-10T08,3
2004-11-10T14,3
2004-11-10T17,3
2004-11-11T06,2
2004-11-11T07,6
2004-11-11T08,3
2004-11-11T09,2
2004-11-11T12,3
2004-11-11T13,3
2004-11-11T15,1
2004-11-11T16,3
2004-11-12T07,3
2004-11-12T17,3
2004-11-13T10,3
2004-11-13T17,3
2004-11-14T06,3
2004-11-14T12,3
2004-11-14T15,6
2004-11-14T17,3
2004-11-15T08,3
2004-11-15T17,3
2004-11-16T07,3
2004-11-16T08,3
2004-11-16T09,1
2004-11-16T12,2
2004-11-16T14,5
2004-11-16T16,4
2004-11-17T07,3
2004-11-17T13,3
2004-11-17T17,3
2004-11-18T06,3
2004-11-18T08,3
2004-11-19T14,3
2004-11-19T15,9
2004-11-20T10,3
2004-11-21T09,3
2004-11-21T12,1
2004-11-21T13,3
2004-11-21T16,3
2004-11-22T08,3
2004-11-22T09,3
2004-11-22T11,12
2004-11-22T12,6
2004-11-22T13,1
2004-11-22T14,2
2004-11-22T15,27
2004-11-23T09,3
2004-11-23T10,6
2004-11-23T13,3
2004-11-23T15,3
2004-11-24T08,4
2004-11-24T10,3
2004-11-24T11,3
2004-11-24T13,3
2004-11-24T15,3
2004-11-25T07,3
2004-11-25T11,3
2004-11-26T06,3
2004-11-26T10,2
2004-11-26T17,3
2004-11-28T06,3
2004-11-28T08,3
2004-11-28T09,3
2004-11-28T11,2
2004-11-28T15,3
2004-11-28T17,3
2004-11-29T06,2
2004-11-29T11,6
2004-11-29T17,1
2004-11-30T09,3
2004-11-30T13,3
2004-11-30T15,3
2004-12-01T09,3
2004-12-01T13,3
2004-12-02T09,3
2004-12-02T14,6
2004-12-02T16,3
2004-12-03T07,3
2004-12-03T10,3
2004-12-03T15,3
2004-12-04T09,3
2004-12-04T11,3
2004-12-04T13,3
2004-12-04T15,3
2004-12-05T11,3
2004-12-05T14,1
2004-12-05T16,2
2004-12-06T13,3
2004-12-06T16,2
2004-12-07T06,3
2004-12-07T08,3
2004-12-07T16,3
2004-12-08T13,2
2004-12-09T10,1
2004-12-09T11,6
2004-12-09T15,3
2004-12-10T06,3
2004-12-10T10,3
2004-12-10T13,3
2004-12-10T15,3
2004-12-11T08,2
2004-12-11T12,6
2004-12-11T14,1
2004-12-12T11,3
2004-12-12T15,2
2004-12-12T16,6
2004-12-14T08,3
2004-12-14T14,4
2004-12-14T15,3
2004-12-14T16,2
2004-12-15T10,3
2004-12-15T12,2
2004-12-15T14,3
2004-12-16T09,6
2004-12-16T10,3
2004-12-16T12,3
2004-12-17T12,3
2004-12-17T13,1
2004-12-17T16,6
2004-12-18T07,3
2004-12-18T12,3
2004-12-19T06,1
2004-12-19T07,2
2004-12-19T10,3
2004-12-19T11,3
2004-12-19T13,6
2004-12-19T16,3
2004-12-20T09,3
2004-12-20T10,3
2004-12-20T12,3
2004-12-20T13,3
2004-12-21T06,4
2004-12-21T07,3
2004-12-21T10,3
2004-12-21T17,2
2004-12-22T13,2
2004-12-22T14,1
2004-12-22T16,3
2004-12-23T10,3
2004-12-23T15,6
2004-12-24T12,3
2004-12-24T13,3
2004-12-24T14,3
2004-12-24T15,3
2004-12-25T07,3
2004-12-25T17,3
2004-12-26T11,6
2004-12-26T14,3
2004-12-26T16,9
2004-12-27T07,3
2004-12-27T09,3
2004-12-28T15,6
2004-12-29T10,3
2004-12-30T07,3
2004-12-30T14,3
2004-12-30T15,3
2004-12-31T06,3
2004-12-31T12,3
2005-01-01T10,3
2005-01-01T11,3
2005-01-02T07,3
2005-01-02T08,6
2005-01-04T06,3
2005-01-04T12,3
2005-01-04T13,2
2005-01-05T13,3
2005-01-07T11,3
2005-01-07T14,3
2005-01-07T16,3
2005-01-09T09,3
2005-01-09T15,2
2005-01-09T16,1
2005-01-10T06,3
2005-01-10T08,3
2005-01-10T13,3
2005-01-10T17,3
2005-01-11T06,5
2005-01-11T12,3
2005-01-11T15,1
2005-01-11T16,2
2005-01-12T08,3
2005-01-12T14,3
2005-01-13T06,3
2005-01-13T08,3
2005-01-13T15,3
2005-01-13T16,3
2005-01-14T16,3
2005-01-14T17,3
2005-01-15T06,6
2005-01-15T07,3
2005-01-15T14,3
2005-01-15T15,3
2005-01-15T16,3
2005-01-16T08,3
2005-01-16T10,3
2005-01-16T11,1
2005-01-16T13,3
2005-01-16T17,3
2005-01-17T08,3
2005-01-17T16,3
2005-01-18T06,3
2005-01-18T07,5
2005-01-18T16,4
2005-01-19T10,3
2005-01-19T14,3
2005-01-20T06,3
2005-01-20T12,3
2005-01-20T13,5
2005-01-20T14,1
2005-01-21T11,6
2005-01-21T14,2
2005-01-22T11,1
2005-01-22T12,6
2005-01-23T08,3
2005-01-23T09,3
2005-01-23T10,6
2005-01-24T06,1
2005-01-24T16,3
2005-01-26T08,3
2005-01-26T14,3
2005-01-27T09,3
2005-01-27T12,3
2005-01-27T13,6
2005-01-27T16,6
2005-01-27T17,3
2005-01-28T13,5
2005-01-28T14,1
2005-01-28T16,3
2005-01-28T17,3
2005-01-29T08,3
2005-01-29T11,3
2005-01-29T14,3
2005-01-30T06,3
